Date,Open,High,Low,Close
31/05/2013,15323,15382,15098,15100
03/06/2013,15118,15242,15099,15217
04/06/2013,15220,15298,15088,15179
05/06/2013,15169,15189,14933,14959
06/06/2013,14962,15049,14835,15036
07/06/2013,15031,15249,14996,15208
10/06/2013,15194,15293,15178,15228
11/06/2013,15225,15247,15074,15138
12/06/2013,15140,15241,14972,14978
13/06/2013,14984,15205,14873,15186
14/06/2013,15192,15210,15041,15056
17/06/2013,15052,15265,15046,15190
18/06/2013,15192,15343,15177,15313
19/06/2013,15335,15348,15095,15116
20/06/2013,15101,15115,14729,14776
21/06/2013,14775,14884,14770,14868
24/06/2013,14715,14731,14474,14588
25/06/2013,14595,14738,14527,14690
26/06/2013,14684,14865,14621,14824
27/06/2013,14831,15003,14820,14936
28/06/2013,14937,15002,14801,14824
01/07/2013,14833,15012,14791,14882
02/07/2013,14886,14980,14795,14861
03/07/2013,14860,14957,14751,14916
05/07/2013,14920,15112,14895,15076
08/07/2013,15080,15200,15063,15160
09/07/2013,15165,15258,15162,15222
10/07/2013,15232,15318,15192,15243
11/07/2013,15299,15419,15299,15393
12/07/2013,15385,15433,15347,15369
15/07/2013,15367,15444,15361,15416
16/07/2013,15416,15433,15352,15391
17/07/2013,15388,15459,15345,15440
18/07/2013,15431,15533,15400,15481
19/07/2013,15465,15511,15429,15506
22/07/2013,15507,15541,15458,15491
23/07/2013,15495,15547,15486,15513
24/07/2013,15515,15564,15438,15500
25/07/2013,15498,15504,15398,15484
26/07/2013,15494,15522,15343,15498
29/07/2013,15493,15505,15422,15483
30/07/2013,15481,15537,15419,15493
31/07/2013,15483,15580,15431,15433
01/08/2013,15477,15595,15472,15550
02/08/2013,15567,15600,15496,15590
05/08/2013,15585,15597,15524,15554
06/08/2013,15544,15564,15414,15474
07/08/2013,15462,15466,15375,15442
08/08/2013,15448,15523,15371,15452
09/08/2013,15454,15472,15305,15375
12/08/2013,15373,15404,15290,15387
13/08/2013,15398,15474,15306,15411
14/08/2013,15416,15426,15281,15304
15/08/2013,15286,15300,15056,15070
16/08/2013,15060,15113,15028,15038
19/08/2013,15040,15078,14977,15002
20/08/2013,14997,15047,14959,14985
21/08/2013,14986,14998,14826,14847
22/08/2013,14830,14965,14802,14939
23/08/2013,14943,15006,14904,14990
26/08/2013,14985,15033,14920,14931
27/08/2013,14938,14943,14744,14758
28/08/2013,14756,14849,14740,14806
29/08/2013,14795,14901,14782,14834
30/08/2013,14846,14894,14745,14795
03/09/2013,14850,14927,14761,14827
04/09/2013,14818,14950,14782,14924
05/09/2013,14935,14972,14895,14917
06/09/2013,14910,15002,14776,14909
09/09/2013,14908,15083,14892,15036
10/09/2013,15053,15189,15040,15173
11/09/2013,15183,15345,15162,15330
12/09/2013,15339,15347,15284,15313
13/09/2013,15316,15397,15282,15382
16/09/2013,15445,15640,15445,15504
17/09/2013,15514,15559,15480,15533
18/09/2013,15544,15712,15472,15662
19/09/2013,15670,15727,15628,15644
20/09/2013,15650,15661,15622,15639
23/09/2013,15430,15455,15305,15326
24/09/2013,15332,15370,15261,15286
25/09/2013,15282,15306,15183,15210
26/09/2013,15213,15319,15208,15261
27/09/2013,15296,15299,15134,15195
30/09/2013,15117,15119,15001,15046
01/10/2013,15087,15140,15033,15120
02/10/2013,15136,15137,14968,15025
03/10/2013,15027,15031,14870,14906
04/10/2013,14893,15009,14891,14998
07/10/2013,14940,14951,14841,14851
08/10/2013,14848,14876,14677,14714
09/10/2013,14686,14782,14648,14728
10/10/2013,14723,15053,14720,15033
11/10/2013,15025,15193,14949,15175
14/10/2013,15078,15243,15037,15225
15/10/2013,15236,15265,15082,15095
16/10/2013,15110,15311,15086,15249
17/10/2013,15239,15313,15137,15296
18/10/2013,15297,15353,15260,15316
21/10/2013,15327,15367,15297,15322
22/10/2013,15321,15459,15304,15398
23/10/2013,15405,15405,15303,15351
24/10/2013,15361,15475,15347,15454
25/10/2013,15462,15514,15416,15497
28/10/2013,15493,15574,15468,15518
29/10/2013,15517,15626,15483,15616
30/10/2013,15623,15676,15508,15553
31/10/2013,15541,15592,15477,15477
01/11/2013,15524,15589,15481,15542
04/11/2013,15540,15610,15523,15575
05/11/2013,15574,15589,15456,15550
06/11/2013,15553,15698,15546,15683
07/11/2013,15678,15779,15539,15567
08/11/2013,15544,15719,15495,15700
11/11/2013,15708,15743,15677,15723
12/11/2013,15728,15752,15657,15710
13/11/2013,15702,15811,15613,15779
